DO_YOU_WANT_TO_REMOVE_ITEM	Vuoi rimuovere %s?
MC_MOTION_BUTTON_OVER_MSG	Questa opzione è disponibile solo a partire dalla 2° stella.
MC_POLY_BUTTON_OVER_MSG	Questa opzione è disponibile solo a partire dalla 3° stella.
MC_POLY_FAIL	Ora non puoi trasformarti.
MC_POLY_QUESTION	Vuoi trasformarti in questo mostro?
MC_PROMOTION_MAX	Non è più possibile effettuare un miglioramento.
MC_PROMOTION_QUESTION	Vuoi salire di livello?
MC_QUESTION_BUTTON_DESC1	È possibile reimpostare un massimo di 6 volte ogni 24 ore.
MC_QUESTION_BUTTON_DESC2	Carta del nuovo inizio
MC_QUESTION_BUTTON_DESC3	Clicca qui per visualizzare il tempo di ricarica restante.
MC_REWARD_FAIL	Non hai abbastanza spazio nell'inventario.
MC_REWARD_MISSION	Vuoi ottenere ora la tua carta mostro?
MC_SHUFFLE_NO_ITEM	Non hai alcuna carta del nuovo ordine.
MC_TIME	Tempo di ricarica: %s.
MC_TRADE_QUESTION	Ti verranno prelevate %d carte. Vuoi continuare?
MC_USE_ITEM_FAIL	Impossibile aggiungere questa carta.
MC_USE_ITEM_QUESTION	Vuoi aggiungere questa carta mostro?
MC_WARP_BUTTON_OVER_MSG	Questa opzione è disponibile solo a partire dalla 4° stella.
MC_WARP_FAIL	Non puoi più teletrasportarti.
MC_WARP_LIMIT_LEVEL	Il tuo il livello attuale non è sufficiente per teletrasportarti.
MC_WARP_QUESTION	Vuoi teletrasportarti nella zona di questo mostro?
MESSENGER_ADD_BLOCK_FRIEND	Aggiungi
MESSENGER_ADD_FRIEND	Aggiungi amico
MESSENGER_BLOCK	Bloccato
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s vuole essere tuo amico.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accetti?
MESSENGER_DO_YOU_DELETE	Cancelli?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Desideri cancellare il numero di cellulare?
MESSENGER_DO_YOU_MOVE	Desideri andare avanti?
MESSENGER_EMPTY_LIST	Vuoto
MESSENGER_FAMILY	Famiglia
MESSENGER_FRIEND	Amici
MESSENGER_GUILD	Gilda
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Inserisci il codice di conferma che è stato inviato al tuo cellulare.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Inserisci il codice di conferma
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Inserisci il numero di cellulare per l'invio di SMS.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Desideri inserire il numero ora?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Inserisci numero di cellulare
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Invia messaggio.
METIN_TEST	
MINIMAP	Mini-mappa
MINIMAP_CANNOT_SEE	La mappa miniaturizzata non può essere visualizzata.
MINIMAP_CAN_NOT_SHOW_AREAMAP	La mappa non può essere visualizzata.
MINIMAP_DEC_SCALE	Zoom out
MINIMAP_INC_SCALE	Zoom in
MINIMAP_OBSERVER_COUNT	%d Spettatori
MINIMAP_SHOW_AREAMAP	Apri mappa grande
MINI_GAME_RUMI_DISCARD_QUESTION	Vuoi veramente gettar via questa carta?
MINI_GAME_RUMI_EXIT_QUESTION	Vuoi terminare la manche e acquisire la tua vincita?\nI tuoi punti e le carte rimanenti verranno resettati.
MINI_GAME_RUMI_START_QUESTION	Per poter giocare, devi pagare %d Yang. Inoltre, avrai bisogno di %d set di carte.\nVuoi iniziare a giocare?
MINUTE	minuti
MONETARY_UNIT0	Yang
MONETARY_UNIT1	diecimila
MONETARY_UNIT2	cento milioni
MONETARY_UNIT_JUN	Won											   
MONEY_INPUT_DIALOG_SELLPRICE	Prezzo di vendita:
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	Interrompi
MOVE_CHANNEL_NOTICE	Sei collegato al canale %d.
MOVE_CHANNEL_NOT_MOVE	Non puoi cambiare canale.
MOVE_CHANNEL_SELECT	Ok
MOVE_CHANNEL_TITLE	Scelta del canale
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Non puoi spostare degli oggetti se hai un negozio privato aperto.
MUSIC_EMPTY_MUSIC_LIST	Nessuna musica di sottofondo.
MUSIC_METIN2_DEFAULT_THEMA	Musica standard di Metin2
MUSIC_NOT_SELECT_MUSIC	Non è stato scelto nessun file musicale.
NEEFD_REST	Devi prima riposarti.
NOT_YET_SUPPORT	Non è supportato.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Non puoi attivare la modalità Gilda se non appartieni ad una Gilda.
OPTION_PVPMODE_NOT_SUPPORT	Non puoi usare la configuarazione PvP.
OPTION_PVPMODE_PROTECT	Devi aver raggiunto il livello %d per modificare la modalità PvP.
PARTY_ANSWER_TIMEOVER	L'invito è stato rifiutato.
PARTY_BONUS_ATTACKER	Valore d'attacco: +%d	SA
PARTY_BONUS_BERSERKER	Velocità d'attacco: +%d	SA
PARTY_BONUS_BUFFER	Durata dell'abilità: +%d	SA
PARTY_BONUS_DEFENDER	Difesa: +%d	SA
PARTY_BONUS_EXP	Bonus EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Max. MP: +%d	SA
PARTY_BONUS_TANKER	Max. HP: +%d	SA
PARTY_BREAK_UP	Sciogli gruppo
PARTY_DO_YOU_ACCEPT	  desidera entrare nel gruppo.
PARTY_DO_YOU_JOIN	 ti ha invitato a unirti al suo gruppo. Accetti?
PARTY_EXP_DISTRIBUTION_MODE	Divisione per EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	In base al livello
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	I membri di livello più alto ricevono più EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Equilibrato
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Tutti i membri del gruppo ricievono gli stessi EXP.
PARTY_HEAL_ALL_MEMBER	Rigenerare tutto
PARTY_INCREASE_AREA_150	Raggio d'azione del gruppo alzato di fattore 1,5.	SNA
PARTY_INCREASE_AREA_200	Raggio d'azione del gruppo alzato di fattore 2.	SNA
PARTY_LEAVE	Abbandona il gruppo.
PARTY_LONGTIME_BONUS_EXP	EXP bonus per un gioco di gruppo lungo: +%d%%	SA
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Chiamare a sè un membro del gruppo.
PARTY_REGEN_BONUS	Bonus per HP + Rigenerazione MP: +%d%%	SA
PARTY_REQUEST_DENIED	La tua richiesta è stata rifiutata.
PARTY_SET_ATTACKER	Annotare come aggressore.
PARTY_SET_BERSERKER	Annotare come feroce.
PARTY_SET_BUFFER	Annotare come bloccatore.
PARTY_SET_DEFENDER	Annotare come difensore.
PARTY_SET_NORMAL	Annullare le impostazioni.
PARTY_SET_SKILL_MASTER	Annotare come maestro delle abilità.
PARTY_SET_TANKER	Annotare come lottatore corpo a corpo.
PARTY_SKILL_ATTACKER	Valore d'attacco base aggressore  +%.0f
PARTY_SKILL_BERSERKER	Velocità d'attacco feroce +%.0f
PARTY_SKILL_BUFFER	Durata dell'abilità bloccatore +%.0f
PARTY_SKILL_DEFENDER	Difesa difensore +%.0f
PARTY_SKILL_HP_REGEN	Rigenerazione HP +%.0f%%
PARTY_SKILL_PARTY_AREA	Raggio d'azione del gruppo +%d%%
PARTY_SKILL_SKILL_MASTER	Max. MP maestro delle abilità +%.0f
PARTY_SKILL_SP_REGEN	Rigenerazione MP +%.0f%%
PARTY_SKILL_TANKER	Max. HP lottatore corpo a corpo +%.0f
PARTY_SKILL_WARP	Capacità di chiamare a sè i membri del gruppo.
PASSWORD_TITLE	Password Magazzino
PET_BAG_DESC	%s
PET_CAN_NOT_EGG_ITEM_USE	Non puoi aprire l'Incubatrice mentre stai commerciando, oppure mentre il tuo magazzino o il negozio privato sono aperti.
PET_CAN_NOT_FEED_SPLIT_ITEM	Non puoi inserire un oggetto diviso in questa finestra.
PET_CAN_NOT_FEED_TYPE	In questo modo non potrai dar da mangiare al tuo pet. Prova con un'altra azione.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Al fine di addestrare il tuo pet per portarlo al prossimo livello di evoluzione, è necessario che esso abbia raggiunto il livello %d.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Al fine di addestrare il tuo pet per portarlo al prossimo livello di evoluzione, è necessario che esso abbia raggiunto il 100% di esperienza.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Il tuo pet ha già raggiunto il massimo livello di evoluzione.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Non puoi aprire un negozio privato se hai già chiamato il tuo pet.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Al fine di addestrare il tuo pet per portarlo al prossimo livello di evoluzione, è necessario che esso abbia raggiunto %d giorni di età.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Non puoi chiamare il pet perché il tempo è scaduto.
PET_CAN_NOT_USE_BAG	Non puoi usare il Trasportino se il periodo di utilizzo del pet è scaduto.
PET_HATCHING_ACCEPT	Vuoi chiamare il tuo pet "%s"?
PET_HATCHING_MONEY	Prezzo: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Non puoi eseguire nessuna interazione mentre l'Incubatrice è aperta.
PET_INFORMATION_STAGE1	Cucciolo
PET_INFORMATION_STAGE2	Selvatico
PET_INFORMATION_STAGE3	Coraggioso
PET_INFORMATION_STAGE4	Addestramento eroico
PET_INFO_EXP	Esperienza attuale:
PET_INFO_ITEM_EXP	Attuali item EXP
PET_INFO_NEXT_EXP	Esperienza rimanente:
PET_INFO_NEXT_ITEM_EXP	Item EXP rimanenti
PET_MSG_NOT_ENOUGH_MONEY	Non hai abbastanza Yang.
PET_NAME_CHANGE_ACCEPT	Vuoi modificare il nome del tuo pet in "%s"?
PET_NAME_MIN	Il nome inserito è troppo corto.
PET_SKILL_DELETE_QUESTION_DLG_MSG	Ora le abilità sono disponibili.
PET_SKILL_LEARN_QUESTION_DLG_MSG	Vuoi avviare l'addestramento eroico con "%s".
PET_SKILL_TOOLTIP_COOLTIME	Tempo di ricarica: %d secondi
PET_SKILL_TOOLTIP_DURATION	Durata: %d secondi
PET_SKILL_TOOLTIP_HEAL	Se i tuoi HP scendono al di sotto del 20%%, ottieni un\n %d%% di possibilità che i tuoi HP aumentino di un %d.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	Il tuo personaggio ha una possibilità di un %d%% di diventare invincibile\n quando i suoi HP scendono al di sotto di un 10%%.\n Durata dell'effetto: %.1f secondi.	SAA
PET_SKILL_TOOLTIP_REMOVAL	Rimuove immediatamente tutti gli effetti di avvelenamento, di rallentamento o\n di sanguinamento con una probabilità di un %d%%\n ogni volta che il tuo personaggio viene colpito.	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Vuoi portare l'addestramento eroico al prossimo livello?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Costi: %s
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	Difesa
PET_TOOLTIP_HP	HP
PET_TOOLTIP_LEVEL	Livello
PET_TOOLTIP_LIFETIME_OVER	Scaduto
PET_TOOLTIP_SKILL_BONUS_VALUE	in fase di addestramento eroico
PET_TOOLTIP_SKILL_CUR_LEVEL	Livello: %d
PET_TOOLTIP_SKILL_NEXT_LEVEL	Prossimo livello: %d (max. %d)
PET_TOOLTIP_SP	MP
PET_TOOLTIP_TRADABLE	Commerciabile
PET_TOOLTUP_SKILL	%s (livello %d)
PICK_ITEM_TITLE	Numero dell'oggetto
PICK_MONEY_TITLE	Prezzo
PRIVATESHOPSEARCH_ABLITY_POTION	Rugiada
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Stoffa sottile
PRIVATESHOPSEARCH_ARMOR	Equipaggiamento
PRIVATESHOPSEARCH_ARROW	Frecce
PRIVATESHOPSEARCH_BELL	Campane
PRIVATESHOPSEARCH_BELT	Cintura
PRIVATESHOPSEARCH_BLEND	Pozioni
PRIVATESHOPSEARCH_BLOOD_PEARL	Perla rossa
PRIVATESHOPSEARCH_BLUE_PEARL	Perla blu
PRIVATESHOPSEARCH_BODY	Equipaggiamenti
PRIVATESHOPSEARCH_BOW	Archi
PRIVATESHOPSEARCH_BUYTIME	Vuoi acquistare l'oggetto selezionato?
PRIVATESHOPSEARCH_CLAW	Artigli
PRIVATESHOPSEARCH_CLEAR_POTION	Elisir
PRIVATESHOPSEARCH_COSTUME	Costumi
PRIVATESHOPSEARCH_COSTUMEBODY	Costume
PRIVATESHOPSEARCH_COSTUMEHAIR	Pettinatura
PRIVATESHOPSEARCH_COSTUME_ACCE	Stole
PRIVATESHOPSEARCH_COSTUME_MOUNT	Cavalcatura
PRIVATESHOPSEARCH_CRYSTAL	Cristallo
PRIVATESHOPSEARCH_DAGGER	Pugnali
PRIVATESHOPSEARCH_DEAD	senza vita
PRIVATESHOPSEARCH_DETACHMENT	Libro delle pietre
PRIVATESHOPSEARCH_DIAMOND	Diamante
PRIVATESHOPSEARCH_DS	Alchimia delle Pietre del drago
PRIVATESHOPSEARCH_DS_BLACK	Onice
PRIVATESHOPSEARCH_DS_BLUE	Zaffiro
PRIVATESHOPSEARCH_DS_GREEN	Giada
PRIVATESHOPSEARCH_DS_RED	Rubino
PRIVATESHOPSEARCH_DS_WHITE	Diamante
PRIVATESHOPSEARCH_DS_YELLOW	Granato
PRIVATESHOPSEARCH_EAR	Orecchini
PRIVATESHOPSEARCH_FAN	Ventagli
PRIVATESHOPSEARCH_FISH	Pesci
PRIVATESHOPSEARCH_FOOTS	Scarpe
PRIVATESHOPSEARCH_GEM	Pietre preziose
PRIVATESHOPSEARCH_GIFTBOX	Pacchi regalo
PRIVATESHOPSEARCH_HEAD	Elmi
PRIVATESHOPSEARCH_LIVE	in vita
PRIVATESHOPSEARCH_MATERIAL	Materiali
PRIVATESHOPSEARCH_METIN	Pietre spirituali
PRIVATESHOPSEARCH_NECK	Collane
PRIVATESHOPSEARCH_NEED_ITEM_BUY	Se non hai il fagotto giusto, non puoi comprare nessun oggetto.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	Se non hai il fagotto giusto, non puoi cercare nessun oggetto.
PRIVATESHOPSEARCH_NODELAY_POTION	Oggetti HP
PRIVATESHOPSEARCH_ORE	Minerale
PRIVATESHOPSEARCH_PET	Sistema dei pet
PRIVATESHOPSEARCH_PETAGG	Uova del pet
PRIVATESHOPSEARCH_PETSKILLBOOK	Libri delle abilità del pet
PRIVATESHOPSEARCH_PICK	Picconi
PRIVATESHOPSEARCH_POTION	Pozioni
PRIVATESHOPSEARCH_QUEST	Missione
PRIVATESHOPSEARCH_QUIVER	Faretre per frecce
PRIVATESHOPSEARCH_RESOURCE	Miglioramento oggetti
PRIVATESHOPSEARCH_ROD	Pesca
PRIVATESHOPSEARCH_SELECTITEM	Oggetto selezionato
PRIVATESHOPSEARCH_SHIELD	Scudi
PRIVATESHOPSEARCH_SKILLBOOK	Libri delle abilità
PRIVATESHOPSEARCH_SKILLFORGET	Libro dell'amnesia
PRIVATESHOPSEARCH_SPECIAL	Varie
PRIVATESHOPSEARCH_STONE	Scaglia di energia
PRIVATESHOPSEARCH_SWORD	Spada a una mano
PRIVATESHOPSEARCH_TREASUREBOX	Bauli
PRIVATESHOPSEARCH_TUNING	Papiri
PRIVATESHOPSEARCH_TWOSWORD	Spada a due mani
PRIVATESHOPSEARCH_UNIQUE	Unico
PRIVATESHOPSEARCH_USEITEM	Beni di consumo
PRIVATESHOPSEARCH_USESPECIAL	Varie
PRIVATESHOPSEARCH_WEAPON	Armi
PRIVATESHOPSEARCH_WHITE_PEARL	Perla bianca
PRIVATESHOPSEARCH_WRIST	Bracciali
PRIVATE_SHOP_CANNOT_SELL_ITEM	Non puoi vendere questo oggetto in un neegozio privato.
PRIVATE_SHOP_CLOSE_QUESTION	Desideri chiudere il negozio privato?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Nome del negozio privato
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Prezzo
PVP_LEVEL0	Cavaliere
PVP_LEVEL1	Nobile
PVP_LEVEL2	Buono
PVP_LEVEL3	Gentile
PVP_LEVEL4	Neutrale
PVP_LEVEL5	Aggressivo
PVP_LEVEL6	Perfido
PVP_LEVEL7	Maligno
PVP_LEVEL8	Crudele
PVP_MODE_GUILD	La Gilda PvP è stata attivata.
PVP_MODE_KILL	PvP - Libero attivato.
PVP_MODE_NORMAL	PvP - Pace attivato.
PVP_MODE_PROTECT	PvP - Protezione attivato.
PVP_MODE_REVENGE	PvP - Nemico attivato.
PVP_OPTION_KILL	Libero
PVP_OPTION_NORMAL	Pace
PVP_OPTION_PROTECT	Protezione
PVP_OPTION_REVENGE	Nemico
QUEST_APPEND	È stata formulata una nuova missione.
QUEST_MIN	Min.
QUEST_SEC	Sec.
QUEST_TIMEOVER	Tempo scaduto
QUEST_UNLIMITED_TIME	Non c'è limite di tempo
QUEST_ZEROSEC	0 Sec.
QUICKSLOT_REGISTER_DISABLE_ITEM	Questo oggetto non può essere inserito nei campi di utilizzo rapido.
RECEIVE_MESSAGE	%s ti ha mandato un messaggio.
REFINE_COST	Costo del miglioramento: %d Yang
REFINE_DESTROY_WARNING	L'oggetto potrebbe essere distrutto durante il miglioramento.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Vuoi veramente effettuare l'upgrade dell'oggetto?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	In caso di fallimento l'oggetto sarà distrutto. Desideri continuare?
REFINE_DOWN_GRADE_WARNING	L'oggetto durante il miglioramento potrebbe peggiorare.
REFINE_DO_YOU_SEPARATE_METIN	Desideri rimuovere tutte le Pietre Spirituali?
REFINE_FAILURE	Non è andata... Non ce l'abbiamo fatta.
REFINE_FAILURE_CAN_NOT_ATTACH	%s questo oggetto non può essere inserito.
REFINE_FAILURE_EQUIP_ITEM	Non puoi migliorare gli oggetti in uso.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Nessuna Pietra Spirituale può essere tolta.
REFINE_FAILURE_NEED_BETTER_SCROLL	Ti serve un migliore papiro del miglioramento .
REFINE_FAILURE_NO_GOLD_SOCKET	Non hai nessuna montatura d'oro per inserire %s.
REFINE_FAILURE_NO_MORE_SOCKET	Non puoi creare altre montature.
REFINE_FAILURE_NO_SOCKET0	Non hai nessuna montatura per inserire %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Su questo oggetto non può essere creata una montatura.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Questo oggetto non può essere migliorato.
REFINE_SUCCESS	Il miglioramento è riuscito con successo.
REFINE_SUCCESS_PROBALITY	Possibilità di successo: %d%%
REFINE_WARNING2	Desideri continuare?
SAFEBOX_ERROR	Hai inserito la password sbagliata.
SAFEBOX_SELL_DISABLE_SAFEITEM	Non puoi vendere gli oggetti salvati.
SAFEBOX_WRONG_PASSWORD	Le password devono essere identiche.
SCREENSHOT_SAVE1	È salvato in
SCREENSHOT_SAVE2	Cartella degli Screenshot
SCREENSHOT_SAVE_FAILURE	Salvataggio dello screenshot fallito.
SECOND	Sec
SELECT_ATTR_NOTICE	Non puoi aprire un negozio privato mentre l'item Incanta oggetto+ è in uso.
SELECT_ATTR_NOT_OPEN	Non puoi utilizzare l'item Incanta oggetto+ mentre hai un negozio privato aperto.
SELECT_ATTR_NOT_SELECT	Scegli se mantenere i bonus o scambiarli.
SELECT_CAN_NOT_DELETE	Non puoi cancellare il personaggio.
SELECT_CHANGED_NAME	Hai modificato il nome del personaggio.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Il nome del personaggio esiste già.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Riprovaci.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Questo nome del personaggio è errato
SELECT_CHANGE_NAME_TITLE	Modifica il nome del personaggio
SELECT_DELEING	Il personaggio sta per essere cancellato.
SELECT_DELETED	Cancellato con successo
SELECT_DO_YOU_DELETE_REALLY	Desideri continuare?
SELECT_EMPTY_SLOT	Questo è un campo vuoto
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Inserisci un nuovo nome del personaggio.
SELECT_NOT_JOIN_GUILD	Nessuna Gilda
SHOP_BUY_INFO	Scegli dalla vetrina l'oggetto che vorresti acquistare.
SHOP_CANNOT_SELL_EQUIPMENT	Non puoi vendere degli oggetti in uso.
SHOP_CANNOT_SELL_ITEM	Questto oggetto non è in vendita
SHOP_ERROR_UNKNOWN	Errore di caricamento sconosciuto: %s
SHOP_EXCEED_LIMIT_TODAY	Hai già superato il limite giornaliero per l'utilizzo dei punti.
SHOP_INVALID_POS	Questo oggetto non è adatto.
SHOP_INVENTORY_FULL	Nel magazzino non c'è più posto.
SHOP_LIMIT_TODAY	Limite giornaliero: %d / %d
SHOP_MY_BATTLE_POINT	Punti battaglia: %d
SHOP_NOT_ENOUGH_10TH_COIN	Non hai abbastanza Monete dell'anniversario.
SHOP_NOT_ENOUGH_BATTLE_POINT	Non hai abbastanza punti battaglia.
SHOP_NOT_ENOUGH_MONEY	Non hai abbastanza Won o Yang
SHOP_NOT_ENOUGH_MONEY_EX	Non hai Yang a sufficienza.
SHOP_SELL_INFO	Scegli dal tuo inventario l'oggetto che vuoi vendere.
SHOP_SOLDOUT	Esaurito
SHOT_ERROR_UNKNOWN	Errore sconosciuto nell'attacco a distanza: %s
SKILL_BLEEDING	Emorragia
SKILL_BOHO	Riflettere
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Ti serve EXP per imparare questa abilità.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Ti serve un libro per imparare questa abilità.
SKILL_CHEONGEUN	Corpo forte
SKILL_CRITICAL	Colpo critico
SKILL_ENCHANT_POISON	Applica il veleno
SKILL_EUNHYEONG	Camuffamento
SKILL_FAINT	Svenimento
SKILL_FIND_TRAP	Cerca trappola
SKILL_FIRE	Fuoco duraturo
SKILL_FISHMIND	La palla di pesce è usata.
SKILL_GAMJI	Mirare
SKILL_GEOMGYEONG	Aura della spada
SKILL_GICHEON	Aiuto del drago
SKILL_GIGONG	Rotazione Chi
SKILL_GONGPO	Terrore
SKILL_GRADE_NAME_GRAND_MASTER	%s Gran Maestro
SKILL_GRADE_NAME_MASTER	%s Maestro
SKILL_GRADE_NAME_PERFECT_MASTER	%s Maestro perfetto
SKILL_GROUP_ASSASSIN_1	Lama
SKILL_GROUP_ASSASSIN_2	Arco
SKILL_GROUP_HORSE	Equitazione
SKILL_GROUP_SHAMAN_1	Drago
SKILL_GROUP_SHAMAN_2	Guarigione
SKILL_GROUP_SURA_1	Armi
SKILL_GROUP_SURA_2	Magia
SKILL_GROUP_WARRIOR_1	Corpo
SKILL_GROUP_WARRIOR_2	Mentale
SKILL_GWIGEOM	Lama incantata
SKILL_GYEONGGONG	Passo piumato
SKILL_HEUKSIN	Protezione oscura
SKILL_HOSIN	Benedizione
SKILL_INC_ATKSPD	Velocità di attacco aumentata
SKILL_INC_MOVSPD	Velocità di movimento aumentata
SKILL_JEOJU	Maledizione
SKILL_JEONGEOP	Guarire
SKILL_JEONGWI	Estasi da combattimento
SKILL_JEONSINBANGEO	Difesa piena
SKILL_JEONSINGONGGYEOK	Attacco pieno
SKILL_JEUNGRYEOK	Attacco +
SKILL_JEUNGSOK	Vlocità +
SKILL_JUMAGAP	Armatura incantata
SKILL_KWAESOK	Velocità
SKILL_MUYEONG	Spirito della fiamma
SKILL_NEED_EMPTY_BOTTLE	Non ho altre bottiglie vuote.
SKILL_NEED_POISON_BOTTLE	Non ho bottiglie di veleno.
SKILL_ONLY_FOR_GUILD_WAR	Puoi usare questa abilità solo nella guerra tra Gilde.
SKILL_PABEOP	Togli incantesimo
SKILL_POWERFUL_STRIKE	Attacco anestetizzante
SKILL_SEOMGWANG	Bomba lampo
SKILL_SLEEP	Sonno
SKILL_SLOW	Lento
SKILL_STUN	Anestetizzare
SKILL_SUHO	Guardiano
SKILL_SUMMON_DESCRIPTION	Possibilità di evocazione: %d%%
SKILL_TOOLTIP_INT	Intelligenza
SKILL_TOOLTIP_LEVEL	Livello
SKILL_TOXICDIE	Avvelenamento
SKILL_TOXICPOWER	Valore di avvelenamento migliorato
SKILL_TUSOK	Colpo dello spirito
STAT_MINUS_CON	Adattamento della vitalità (Possibilità rimaste: %d)
STAT_MINUS_DEX	Adattamento della destrezza (Possibilità rimaste: %d)
STAT_MINUS_INT	Adattamento dell'intelligenza (Possibilità rimaste: %d)
STAT_MINUS_STR	Adattamento della forza (Possibilità rimaste: %d)
STAT_TOOLTIP_CON	HP e Difesa aumentati
STAT_TOOLTIP_DEX	Precisione e Fuga aumentati
STAT_TOOLTIP_INT	MP e Difesa-Attacco magici aumentati
STAT_TOOLTIP_STR	Valori Attacco e Danno migliorati
SYMBOLLIST_TITLE	Registrare la bandiera della Gilda
SYSTEM_OPTION_CPU_TILING_1	La modalità CPU Tiling può migliorare la velocità di un PC lento.
SYSTEM_OPTION_CPU_TILING_2	Se si dovessero verificare problemi con la grafica, scegli ,Opzioni di sistema‘ o ,CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	ed usa così il GPU-Tiling-Modus
SYSTEM_OPTION_GPU_TILING_1	La modalità GPU Tiling potrebbe andare più lentamente su un PC vecchio
SYSTEM_OPTION_GPU_TILING_2	Se si verificano dei problemi con la grafica scegli "Opzioni di Sistema" o "CONFIG.exe"
SYSTEM_OPTION_GPU_TILING_3	e cambia in modalità CPU Tiling
SYSTEM_OPTION_TILING_EXIT	Per cambiare la modalità Tiling devi riavviare il gioco.
TARGET_BUTTON_ACCEPT_FIGHT	Accetta
TARGET_BUTTON_AVENGE	Vendetta
TARGET_BUTTON_BLOCK	Blocca
TARGET_BUTTON_BLOCK_REMOVE	Sblocca
TARGET_BUTTON_BUILDING_DESTROY	Distruggi
TARGET_BUTTON_DISMOUNT	Scendi
TARGET_BUTTON_EMOTION_ALLOW	Emozioni
TARGET_BUTTON_EXCHANGE	Commercia
TARGET_BUTTON_EXCLUDE	Escludi
TARGET_BUTTON_EXIT_OBSERVER	Termina la modalità spettatore
TARGET_BUTTON_FIGHT	Duello
TARGET_BUTTON_FRIEND	Amico
TARGET_BUTTON_INVITE_GUILD	Invito Gilda.
TARGET_BUTTON_INVITE_PARTY	Invito Gruppo.
TARGET_BUTTON_LEAVE_PARTY	Lascia gruppo
TARGET_BUTTON_REQUEST_ENTER_PARTY	Entra nel gruppo
TARGET_BUTTON_VIEW_EQUIPMENT	Armatura
TARGET_BUTTON_WHISPER	Chat privata
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Grado 5
TARGET_LEVEL_KNIGHT	Grado 3
TARGET_LEVEL_PAWN	Grado 1
TARGET_LEVEL_S_KNIGHT	Grado 4
TARGET_LEVEL_S_PAWN	Grado 2
TARGET_TOOLTIP_ATTACK_COUNT	Punteggio totale: %d
TASKBAR_ATTACK	Attacca
TASKBAR_AUTO	Attacca automaticamente
TASKBAR_CAMERA	Videocamera
TASKBAR_EXP	Esperienza
TASKBAR_HP	HP
TASKBAR_MOVE	Muovi
TASKBAR_SKILL	Abilità
TASKBAR_SP	MP
TASKBAR_ST	AP
TENTH_COIN	Moneta/e dell'anniversario
TENTH_EVENT_ASK_EXCHANGE	Ti servono %d Bandiere dell'anniversario. Desideri continuare?
THING_COUNT	Tutti
TOOLTIP_AFFECT_POLYMORPH	Trasformazione	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Resistenza contro il colpo critico +%d%% 	SA
